0d sh-scramble,0d sh-circHomer1,3d sh-scramble,3d sh-circHomer1,7d sh-scramble,7d sh-circHomer1
0.938,0.938,0.67,2.11,0.813,1.949
0.744,0.744,0.453,1.055,0.749,0.348
2.172,2.172,0.307,1.873,1.144,0.745
0.971,0.971,0.464,1.071,0.459,0.76
0.527,0.527,0.801,0.56,0.735,1.155
0.687,0.687,0.887,0.453,1.265,1.085
0.73,0.73,0.664,1.256,1.234,0.929
0.606,0.606,0.517,0.194,0.333,0.749
0.849,0.849,0.79,0.424,0.474,0.867
1.312,1.312,0.32,0.331,0.874,0.453
0.683,0.683,0.35,0.354,0.39,0.417
1.536,1.536,0.43,0.457,1.691,0.728
0.693,0.693,0.601,0.266,1.104,1.249
2.143,2.143,0.448,0.651,0.79,1.301
0.38,0.38,0.55,1.29,1.286,0.314
1.915,1.915,0.517,0.622,1.738,0.872
1.75,1.75,0.395,0.833,0.237,0.806
1.012,1.012,0.589,0.457,0.583,0.604
2.295,2.295,1.444,0.425,0.552,0.589
0.894,0.894,0.483,1.352,0.921,0.302
0.938,0.938,0.634,0.34,1.954,1.349
1.132,1.132,0.626,1.472,0.6,0.877
1.469,1.469,0.337,0.457,0.539,0.968
0.953,0.953,0.534,1.034,0.667,0.751
0.577,0.577,0.638,0.632,0.538,0.236
1.052,1.052,0.452,0.683,0.226,1.773
0.78,0.78,0.8,0.601,0.079,0.457
0.66,0.66,0.655,0.477,0.112,0.447
1.602,1.602,0.654,1.163,0.112,0.648
0.784,0.784,0.317,1.946,0.333,0.786
1.137,1.137,0.469,0.654,0.2,1.531
1.261,1.261,0.57,0.403,0.25,0.601
0.82,0.82,0.411,0.317,0.369,0.74
0.622,0.622,0.343,1.62,0.707,0.359
1.287,1.287,0.716,1.074,0.141,1.043
1.013,1.013,0.508,0.425,0.459,0.823
1.339,0.667,0.69,0.92,0.984,0.732
1.311,0.899,0.966,0.573,0.425,0.417
0.773,0.632,0.388,0.696,0.333,0.622
0.647,0.71,1.418,1.23,0.2,0.348
1.004,0.735,0.517,0.544,0.255,0.542
0.824,0.873,0.683,0.68,0.326,0.675
1.089,1.787,1.211,0.633,2.006,0.892
1.472,0.427,0.552,0.537,0.701,0.79
0.928,0.583,0.938,0.888,0.237,0.899
0.823,0.506,0.961,1.169,0.614,1.678
0.716,0.824,1.216,0.932,0.468,0.866
1.712,0.675,1.222,0.812,0.726,0.976
0.83,1.757,0.772,0.434,0.667,0.648
0.366,0.694,0.372,0.626,2.121,0.801
0.419,1.707,0.754,0.994,0.295,0.675
0.94,0.745,0.92,1.155,0.424,1.797
0.801,0.863,1.258,0.718,0.651,0.998
0.968,0.834,0.486,0.401,0.425,0.401
1.4,2.142,0.787,1.306,0.593,0.75
2.323,0.883,0.531,0.825,0.548,0.905
0.448,0.459,0.386,1.119,0.507,1.952
1.286,0.715,0.687,0.982,1.076,0.548
0.835,0.901,0.453,1.088,0.899,0.473
0.411,0.778,0.596,1.057,1.758,0.359
1.76,0.395,0.383,0.221,0.468,0.844
0.959,0.701,0.38,0.587,0.372,0.263
1.032,1.343,0.688,0.538,0.655,1.945
0.544,1.56,0.614,0.667,0.465,0.709
0.91,0.715,0.618,0.877,0.769,0.569
1.055,1.512,0.447,0.676,0.707,0.883
1.642,1.245,0.663,0.76,0.403,0.777
1.135,0.707,0.34,2.003,0.284,0.783
1.106,1.068,0.915,1.807,1.12,0.934
1.053,0.855,0.848,1.212,0.648,1.161
1.782,0.48,0.924,0.27,0.531,0.917
0.91,0.477,0.629,0.887,0.35,1.64
0.739,1.008,0.903,1.816,0.424,1.001
0.835,0.427,0.791,1.4,0.603,0.558
0.816,1.101,0.792,0.975,0.817,0.464
1.071,0.538,0.792,0.76,0.335,0.212
1.277,1.931,0.317,0.655,0.864,0.618
0.887,0.82,0.887,0.676,0.79,0.622
1.541,0.542,1.338,1.568,0.275,0.666
0.822,1.87,0.405,1.461,0.959,0.634
1.041,0.754,0.471,1.237,1.21,0.269
1.35,1.059,0.356,0.849,0.596,0.721
0.657,0.95,0.872,1.02,0.438,0.566
0.703,0.641,0.521,0.847,1.349,0.718
0.507,0.675,0.452,0.364,0.78,0.792
1.608,1.168,0.392,0.544,1.211,0.734
0.627,0.721,0.79,0.52,0.254,0.403
0.751,0.533,0.388,0.534,0.236,0.497
1.56,1.224,1.169,1.566,0.65,0.65
1.912,1.207,0.8,1.237,0.475,1.037
1.499,1.073,0.712,1.24,1.337,1.006
2.391,0.583,0.403,0.49,0.781,0.471
1.125,0.57,1.614,0.922,0.549,0.538
1.3,1.043,1.117,0.548,0.583,1.382
1.012,0.473,1.391,0.601,0.318,1.328
1,0.577,0.959,1.159,0.39,1.453
0.992,1.006,0.331,0.474,1.253,0.4
0.854,1.19,0.537,1.282,0.816,1.019
2.192,0.76,0.427,0.288,0.431,0.884
0.651,0.804,0.596,0.686,0.579,0.421
1.484,0.596,1.393,1.55,1.019,1.398
2.879,1.64,0.36,0.887,2.219,1.75
0.886,0.696,0.573,0.797,1.209,0.405
1.139,1.744,0.879,0.707,0.215,0.636
1.027,0.438,1.059,0.618,0.348,0.56
0.667,0.679,0.495,1.336,0.364,0.833
1.157,0.764,0.883,0.661,0.146,1.014
1.484,0.455,0.591,0.356,0.618,1.594
1.151,1.549,0.411,0.612,0.886,1.28
0.637,0.476,0.425,0.897,0.637,0.751
1.569,0.78,1.288,0.554,0.353,0.66
1,0.534,1.007,0.24,1.076,1.053
1.185,0.401,1.686,0.38,0.728,0.585
0.728,1.285,0.916,1.074,0.285,0.801
0.977,0.923,0.401,0.24,0.51,0.26
